Date,MarketType,Region,Price (Reals per MMBtu),Volume (1.000 m³/Day)
2019-09-01,Thermal,North-Northeast,18.9,15908
2019-09-01,NonThermal,North-Northeast,49.3,7159
2019-09-01,NonThermal,Southeast,48.8,26028
2019-09-01,Thermal,Southeast-South-CentralWest,18.8,10520
2019-09-01,NonThermal,South-CentralWest,40.1,5726
2019-10-01,Thermal,North-Northeast,18.8,16353
2019-10-01,NonThermal,North-Northeast,49.4,7500
2019-10-01,NonThermal,Southeast,47.8,25854
2019-10-01,Thermal,Southeast-South-CentralWest,21.9,15759
2019-10-01,NonThermal,South-CentralWest,38.0,5863
2019-11-01,Thermal,North-Northeast,19.0,16941
2019-11-01,NonThermal,North-Northeast,48.1,6710
2019-11-01,NonThermal,Southeast,47.2,25385
2019-11-01,Thermal,Southeast-South-CentralWest,24.6,16319
2019-11-01,NonThermal,South-CentralWest,39.2,5786
2019-12-01,Thermal,North-Northeast,18.9,15392
2019-12-01,NonThermal,North-Northeast,48.2,6576
2019-12-01,NonThermal,Southeast,46.9,23854
2019-12-01,Thermal,Southeast-South-CentralWest,19.7,10403
2019-12-01,NonThermal,South-CentralWest,37.6,5288
2020-01-01,Thermal,North-Northeast,19.1,16489
2020-01-01,NonThermal,North-Northeast,44.6,6950
2020-01-01,NonThermal,Southeast,42.6,23993
2020-01-01,Thermal,Southeast-South-CentralWest,23.8,9036
2020-01-01,NonThermal,South-CentralWest,38.1,5504
2020-02-01,Thermal,North-Northeast,20.7,12782
2020-02-01,NonThermal,North-Northeast,46.0,7146
2020-02-01,NonThermal,Southeast,44.0,19854
2020-02-01,Thermal,Southeast-South-CentralWest,17.9,5834
2020-02-01,NonThermal,South-CentralWest,38.1,4434
2020-03-01,Thermal,North-Northeast,29.1,6157
2020-03-01,NonThermal,North-Northeast,44.5,6514
2020-03-01,NonThermal,Southeast,46.4,22899
2020-03-01,Thermal,Southeast-South-CentralWest,18.7,4607
2020-03-01,NonThermal,South-CentralWest,41.1,3546
2020-04-01,NonThermal,North-Northeast,45.5,5120
2020-04-01,NonThermal,Southeast,45.5,17053
2020-04-01,Thermal,Southeast-South-CentralWest,16.2,2714
2020-04-01,NonThermal,South-CentralWest,43.2,3698
2020-05-01,NonThermal,North-Northeast,40.8,5317
2020-05-01,Thermal,North-Northeast,34.5,5060
2020-05-01,NonThermal,Southeast,42.4,19085
2020-05-01,Thermal,Southeast-South-CentralWest,19.5,2509
2020-05-01,NonThermal,South-CentralWest,39.0,4027
2020-06-01,NonThermal,North-Northeast,41.5,6080
2020-06-01,Thermal,North-Northeast,27.2,7289
2020-06-01,NonThermal,Southeast,42.5,20596
2020-06-01,Thermal,Southeast-South-CentralWest,21.5,5271
2020-06-01,NonThermal,South-CentralWest,38.8,4436
2020-07-01,NonThermal,North-Northeast,41.3,6657
2020-07-01,Thermal,North-Northeast,26.2,6668
2020-07-01,NonThermal,Southeast,39.6,23270
2020-07-01,Thermal,Southeast-South-CentralWest,21.7,4058
2020-07-01,NonThermal,South-CentralWest,38.2,4678
2020-08-01,NonThermal,North-Northeast,33.0,6667
2020-08-01,Thermal,North-Northeast,25.6,7942
2020-08-01,NonThermal,Southeast,34.5,24061
2020-08-01,Thermal,Southeast-South-CentralWest,21.0,3132
2020-08-01,NonThermal,South-CentralWest,30.8,4898
2020-09-01,NonThermal,North-Northeast,33.0,7017
2020-09-01,Thermal,North-Northeast,26.2,6733
2020-09-01,NonThermal,Southeast,33.8,24623
2020-09-01,Thermal,Southeast-South-CentralWest,23.7,2762
2020-09-01,NonThermal,South-CentralWest,31.1,5279
2020-10-01,NonThermal,North-Northeast,31.8,7179
2020-10-01,Thermal,North-Northeast,20.3,13637
2020-10-01,NonThermal,Southeast,34.4,25265
2020-10-01,Thermal,Southeast-South-CentralWest,28.1,6647
2020-10-01,NonThermal,South-CentralWest,31.3,5139
2020-11-01,NonThermal,North-Northeast,41.8,7115
2020-11-01,Thermal,North-Northeast,20.2,14931
2020-11-01,NonThermal,Southeast,41.0,25878
2020-11-01,Thermal,Southeast-South-CentralWest,31.4,7950
2020-11-01,NonThermal,South-CentralWest,41.4,5373
2020-12-01,NonThermal,North-Northeast,41.4,6840
2020-12-01,Thermal,North-Northeast,20.1,14817
2020-12-01,NonThermal,Southeast,40.7,25296
2020-12-01,Thermal,Southeast-South-CentralWest,35.3,8615
2020-12-01,NonThermal,South-CentralWest,41.2,4879
2021-01-01,NonThermal,North-Northeast,42.6,6981
2021-01-01,Thermal,North-Northeast,20.8,15971
2021-01-01,NonThermal,Southeast,41.8,25158
2021-01-01,Thermal,Southeast-South-CentralWest,32.3,7463
2021-01-01,NonThermal,South-CentralWest,41.1,4967
2021-02-01,NonThermal,North-Northeast,43.0,7723
2021-02-01,Thermal,North-Northeast,23.5,14581
2021-02-01,NonThermal,Southeast,41.8,27854
2021-02-01,Thermal,Southeast-South-CentralWest,32.3,8262
2021-02-01,NonThermal,South-CentralWest,41.1,5499
2021-03-01,NonThermal,North-Northeast,42.9,7458
2021-03-01,Thermal,North-Northeast,37.8,4644
